[2025-08-18 17:24:03] === Starting Large Orgs Bucket 2 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket2.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket2.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:34:31]   OK oracle/coherence-visualvm: 4 commits, 99 PRs
[2025-08-18 17:34:33]   OK oracle/nosql-go-sdk: 0 commits, 41 PRs
[2025-08-18 17:34:36]   OK oracle/oci-powershell-modules: 0 commits, 87 PRs
[2025-08-18 17:34:38]   OK oracle/apex: 0 commits, 43 PRs
[2025-08-18 17:34:40]   OK oracle/oraclejet-tooling: 0 commits, 0 PRs
[2025-08-18 17:34:42]   OK oracle/ojet-cli: 0 commits, 0 PRs
[2025-08-18 17:34:44]   OK oracle/oraclejet: 0 commits, 0 PRs
[2025-08-18 17:34:46]   OK oracle/oci-java-sdk: 0 commits, 93 PRs
[2025-08-18 17:34:49]   OK oracle/oci-typescript-sdk: 0 commits, 88 PRs
[2025-08-18 17:34:51]   OK oracle/oci-dotnet-sdk: 0 commits, 91 PRs
